source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
94227,93952,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,331,,438
94227,94160,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,982,,438
94227,94183,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1415,,438
94271,32174,唱和,贈詩、文,A,唐五代人交往詩索引,1452,,437
94271,33566,唱和,贈詩、文,A,唐五代人交往詩索引,1462,,437
94271,94109,唱和,贈詩、文,A,唐五代人交往詩索引,1456,,437
94271,92328,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,424,,438
94271,93103,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,761,,438
94271,146237,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1002,,438
94595,31974,唱和,贈詩、文,A,唐五代人交往詩索引,381,,437
94595,32174,唱和,贈詩、文,A,唐五代人交往詩索引,379,,437
94595,93832,唱和,贈詩、文,A,唐五代人交往詩索引,394,,437
94595,32822,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,936,,438
94595,93103,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,757,,438
94595,93952,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,333,,438
94595,94183,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1416,,438
99984,34747,唱和,書序由Y所作,P,明人傳記資料索引,8256,0,33
99984,30374,唱和,為Y作祭文,A,明人傳記資料索引,300,0,145
99984,66729,唱和,為Y作祭文,A,明人傳記資料索引,7246,0,145
99984,68547,唱和,為Y作臨別贈言(送別詩、序),A,明人傳記資料索引,4900,0,162
99984,30374,交往,從Y學,P,歐陽德集,1,1516,231
99984,33860,唱和,向Y致賀,A,明人傳記資料索引,2748,0,390
99984,68547,唱和,神道碑由Y所作,P,明人傳記資料索引,8256,0,405
99984,33860,唱和,致書Y,A,歐陽南野先生文集:三十卷,,,429
99984,34702,唱和,致書Y,A,歐陽南野先生文集:三十卷,,,429
99984,68547,唱和,致書Y,A,歐陽南野先生文集:三十卷,,,429
99984,30374,唱和,被致書由Y,P,王文成公全書:三十八卷,卷6,,430
99984,68547,唱和,答Y書,A,歐陽南野先生文集:三十卷,,,431
99984,30374,唱和,收到Y的答書,P,王文成公全書:三十八卷,卷2,,432
99984,33860,唱和,收到Y的贈詩、文,P,明人傳記資料索引,8256,0,438
99984,30374,唱和,為Y作學記（書院記）,A,明人傳記資料索引,300,0,459
99984,66729,唱和,為Y篆匾額、器銘,A,明人傳記資料索引,7246,0,483
99984,128983,唱和,祠記由Y所作,P,明人傳記資料索引,8256,0,561
123973,131951,唱和,向Y致賀,A,賜閒堂集:四十卷,,,390
123973,34747,唱和,被致書由Y,P,鄒公存真集十二卷,卷1,,430
123973,128983,唱和,被致書由Y,P,姜鳳阿文集：三十八卷,,,430
123973,30593,唱和,答Y書,A,賜閒堂集:四十卷,,,431
123973,34717,唱和,答Y書,A,賜閒堂集:四十卷,,,431
123973,34747,唱和,答Y書,A,賜閒堂集:四十卷,,,431
123973,128983,唱和,答Y書,A,賜閒堂集:四十卷,,,431
123973,131951,唱和,答Y書,A,賜閒堂集:四十卷,,,431
127987,30240,唱和,為Y所著書作序,A,明人傳記資料索引,6537,0,32
127987,131951,唱和,為Y所著書作序,A,明人傳記資料索引,7559,0,32
127987,30239,唱和,墓誌銘由Y所作,P,明人傳記資料索引,2329,0,43
127987,34717,唱和,為Y作墓誌銘,A,明人傳記資料索引,274,0,44
127987,30240,唱和,為Y作家傳,A,明人傳記資料索引,6537,0,397
127987,34717,唱和,被致書由Y,P,弇州四部稿一百七十四卷續稿二百零七卷,卷124,,430
127987,56535,唱和,被致書由Y,P,棘門集:八卷,,,430
127987,69011,唱和,贈詩、文,A,明人傳記資料索引,5501,0,437
127987,30239,唱和,收到Y的贈詩、文,P,明人傳記資料索引,2329,0,438
128983,68547,唱和,為Y所著書作跋,A,明人傳記資料索引,4900,0,46
128983,68547,唱和,為Y作祭文,A,明人傳記資料索引,4900,0,145
128983,34747,唱和,為Y作臨別贈言(送別詩、序),A,明人傳記資料索引,7686,0,162
128983,68547,唱和,向Y致賀,A,明人傳記資料索引,4900,0,390
128983,34702,唱和,致書Y,A,姜鳳阿文集：三十八卷,,,429
128983,34717,唱和,致書Y,A,姜鳳阿文集：三十八卷,,,429
128983,34747,唱和,致書Y,A,姜鳳阿文集：三十八卷,,,429
128983,123973,唱和,致書Y,A,姜鳳阿文集：三十八卷,,,429
128983,34702,唱和,被致書由Y,P,石蓮洞羅先生文集:二十五卷,,,430
128983,68547,唱和,收到Y的答書,P,續世經堂集,,,432
128983,69011,唱和,收到Y的答書,P,張江陵集,,,432
128983,123973,唱和,收到Y的答書,P,賜閒堂集:四十卷,,,432
128983,68547,唱和,贈詩、文,A,明人傳記資料索引,4900,0,437
128983,99984,唱和,為Y作祠記,A,明人傳記資料索引,8256,0,560
131191,34532,師生,為Y之學生,A,甘泉先生續編大全:三十三卷,19.30a,,22
131191,30374,唱和,為Y所著書作序,A,明人傳記資料索引,300,0,32
131191,33860,唱和,書序由Y所作,P,明人傳記資料索引,6554,0,33
131191,34649,唱和,書序由Y所作,P,明人傳記資料索引,6554,0,33
131191,30374,唱和,為Y作墓誌銘,A,明人傳記資料索引,300,0,44
131191,30374,唱和,為Y作祭文,A,明人傳記資料索引,300,0,145
131191,34532,唱和,為Y作祭文,A,明人傳記資料索引,5075,0,145
131191,24554,唱和,為Y作臨別贈言(送別詩、序),A,明人傳記資料索引,3104,0,162
131191,33860,唱和,為Y作臨別贈言(送別詩、序),A,明人傳記資料索引,2748,0,162
131191,34649,唱和,義莊記由Y所作,P,明人傳記資料索引,6554,0,198
131191,34532,唱和,為Y作畫贊(畫像記),A,明人傳記資料索引,5075,0,428
131191,33860,唱和,致書Y,A,甘泉先生續編大全:三十三卷,,,429
131191,34702,唱和,答Y書,A,甘泉先生續編大全:三十三卷,,,431
131191,30374,唱和,收到Y的答書,P,王文成公全書:三十八卷,卷4,,432
131191,33860,唱和,建築物得到Y的題詠、記、命名,P,明人傳記資料索引,6554,0,444
131191,34649,唱和,行狀跋由Y所作,P,明人傳記資料索引,6554,0,524
131191,30374,唱和,為Y作祠記,A,明人傳記資料索引,300,0,560
131392,34747,唱和,致書Y,A,盟鷗堂集：三十卷,,,429
131392,131951,唱和,致書Y,A,盟鷗堂集：三十卷,,,429
131392,34747,唱和,答Y書,A,盟鷗堂集：三十卷,,,431
131951,127987,唱和,書序由Y所作,P,明人傳記資料索引,7559,0,33
131951,123973,唱和,從Y處收到賀詞 (occasion),P,賜閒堂集:四十卷,,,391
131951,131392,唱和,被致書由Y,P,盟鷗堂集：三十卷,,,430
131951,123973,唱和,收到Y的答書,P,賜閒堂集:四十卷,,,432
131951,30239,唱和,收到Y的贈詩、文,P,明人傳記資料索引,7559,0,438
134598,134599,好友,友,M,明清婦女著作數據庫,MQWW PoetID #2495,,9
134611,339321,交往,節行為Y所稱道,A,,,,68
134628,135502,家族,養育,A,明清婦女著作數據庫,MQWW PoetID #2631,,87
134865,25793,交往,教授Y,A,明清婦女著作數據庫,"MQWW PoetID #2739, HuWenKai #9",,232
135502,134628,家族,被Y養育,P,明清婦女著作數據庫,MQWW PoetID #2631,,86
146237,33606,唱和,贈詩、文,A,唐五代人交往詩索引,1001,,437
146237,93832,唱和,贈詩、文,A,唐五代人交往詩索引,1002,,437
146237,93952,唱和,贈詩、文,A,唐五代人交往詩索引,996,,437
146237,94109,唱和,贈詩、文,A,唐五代人交往詩索引,998,,437
146237,94271,唱和,贈詩、文,A,唐五代人交往詩索引,1002,,437
146237,13624,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,1138,,438
146237,17029,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,23,,438
146237,93103,唱和,收到Y的贈詩、文,P,唐五代人交往詩索引,759,,438
